KO,growth
RSC1,0.3135271
RTF1,0.3604919
RTG3,0.3162594
RTR2,-0.1252149
RTS1,0.087
RTS3,0.023
RTT102,-0.1134751
RTT103,0.189
RTT106,0.040239
RTT107,0.10318
RXT2,0.3318175
RXT3,0.134349
SAC3,0.3024783
SAF1,0.0198312
SAK1,0.1065
SAM1,-0.0160292
SAN1,0.029344
SAP155,0.073
SAP185,-0.049
SAP190,0.061
SAP30,0.0599321
SAP4,-0.0596429
SAS2,-0.167
SAS4,-0.1088365
SAS5,-0.0918228
SAT4,0.0304
SCP160,-0.1006215
SCS2,0.0702256
SCY1,0.0153
SDC1,0.0430687
SDP1,-0.035
SDS3,0.2131161
SEF1,-0.0314352
SEH1,0.1304378
SEM1,0.4301444
SET3,0.0971332
SET4,-0.1122459
SFB2,-0.035
SFG1,0.0226628
SGF11,0.1589255
SGF29,0.2623499
SGF73,0.2189541
SGN1,-0.0267487
SGS1,0.22559
SGT2,0.0500472
SHE2,-0.0290508
SHG1,0.1060906
SHU1,0.0984278
SIF2,0.0901978
SIM1,0.0729971
SIN3,0.3838383
SIP1,0.0236901
SIP2,0.0389941
SIP3,-0.0081932
SIP4,-0.0836277
SIR2,-0.012
SIR3,0.0231577
SIR4,-0.0093682
SIS2,0.4182853
SIW14,0.1948
SIZ1,0.035
SKI2,0.068387
SKI3,0.0772651
SKM1,-0.0277
SKN7,0.0840643
SKO1,-0.0403433
SKP2,0.098915
SKY1,0.24
SLF1,0.14436
SLK19,0.0829818
SLT2,-0.047
SLX1,-0.0206155
SLX4,-0.0494862
SLX5,0.929492
SLX8,0.4840097
SLX9,0.2987109
SMI1,0.0874306
SMK1,-0.0277
SML1,-0.1108196
SMP1,0.0550469
SNF1,-0.0178
SNF11,-0.0063432
SNF2,0.3703929
SNF3,0.0093379
SNF4,-0.0094603
SNF5,0.694106
SNF7,0.1435441
SNL1,-0.0564798
SNT1,0.1141061
SNT2,0.0
SNT309,0.7687228
SOK1,-0.0048494
SOK2,-0.0046019
SOL1,0.0146965
SPO11,-0.0639158
SPO12,-0.0683979
SPO13,-0.0662386
SPO22,0.02
SPO7,0.1179257
SPS18,-0.0848207
SPS4,0.0872984
SPT2,0.055
SPT21,0.4187249
SPT23,-0.0110109
SPT3,0.3
SPT4,0.415
SPT8,0.0646934
SQS1,0.0998094
SRC1,0.1447996
SRL3,-0.1099628
SRL4,-0.0425505
SRN2,0.1078033
SRO9,0.3711937
SRX1,0.0901204
SSD1,-0.0301267
SSF1,0.2691541
SSF2,0.0351086
SSK1,-0.0039184
SSK2,-0.0597
SSK22,-0.0246
STB3,-0.0345668
STB4,0.1040998
STB6,-0.0148419
STD1,0.0600248
STE11,-0.0414
STE14,0.0588937
STE23,0.1212314
STE5,-0.0274807
STE50,-0.0341372
STE7,-0.0386
STI1,0.1072465
STM1,0.152001
STP1,0.2969746
STP3,0.1652621
STP4,-0.1818013
SUB1,0.0656353
SUM1,0.079423
SUT1,-0.0029113
SUT2,-0.0194962
SWA2,1.076067
SWC3,0.1267123
SWC5,0.2164522
SWC7,-0.03
SWH1,-0.06
SWI4,-0.0663759
SWI5,-0.0465986
SWI6,0.6155671
SWM1,0.1093835
SWP82,0.0083929
SWR1,0.12
SXM1,-0.086023
SYF2,-0.0406867
TAD1,0.0145902
TAN1,0.2310265
TBS1,-0.0311112
TCB3,-0.0408414
TCO89,0.2807054
TEA1,0.0734016
TEC1,0.2584545
TEL1,0.0025
TEP1,-0.019
TGS1,0.1345851
THI2,0.1148402
THI3,0.0339063
THO1,0.0012737
THP2,0.0683458
TIF4632,0.027434
TIP41,-0.0420587
TMA22,0.1224468
TMA23,0.5582922
TMA46,-0.0227917
TMA64,0.074579
TOD6,0.0213165
TOM1,0.172
TOP3,0.2557256
TOR1,0.044
TOS3,0.1126
TOS4,0.0390668
TOS8,0.1398623
TPA1,0.0182272
TPK2,0.0095
TPK3,0.0697
